名称,名称_カナ,名称_英字,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
いしかわ四高記念公園,イシカワシコウキネンコウエン,ishikawashikokinenkoen,金沢市広坂２丁目,石川県,金沢市,広阪2丁目,,,36.56313138,136.6555586,26,,1,1,,1,1,,,,,,,,,,
本多の森公園,ホンダノモリコウエン,hondanomorikoen,金沢市出羽町ほか,石川県,金沢市,出羽町ほか,,,36.558206,136.6621251,51,,1,1,,1,1,,,,,,,,,,
本多公園,ホンダコウエン,hondakoen,金沢市本多町３丁目51番地１ほか,石川県,金沢市,本多町3丁目,51番地1ほか,,36.55912933,136.6606886,33,,1,1,,1,1,,,,,,,,,,
金沢市立城南中学校,カナザワシリツジョウナンチュウガッコウ,kanazawashiritsujonanchugakko,金沢市城南１丁目24番１号,石川県,金沢市,城南1丁目,24番1号,,36.543669,136.674374,38,,,1,,1,1,,,,1,,,,,,
金沢市菊川町公民館,カナザワシキクガワマチコウミンカン,kanazawashikikugawamachikominkan,金沢市菊川２丁目３番３号,石川県,金沢市,菊川2丁目,3番3号,,36.55134757,136.6599542,25,,,1,,1,1,,,,1,,,,,,
旧材木町小学校体育館,キュウザイモクマチショウガッコウタイイクカン,kyuzaimokumachishogakkotaiikukan,金沢市材木町13番12号,石川県,金沢市,材木町,13番12号,,36.566764,136.668018,16.9,,1,1,,1,1,,,,1,,,,,,
金沢市立杜の里小学校,カナザワシリツモリノサトショウガッコウ,kanazawashiritsumorinosatoshogakko,金沢市若松町３丁目282番地,石川県,金沢市,若松町3丁目,282番地,,36.5573615,136.6864222,32.1,,1,1,,1,1,,,,1,,,,,,
金沢市材木公民館,カナザワシザイモクコウミンカン,kanazawashizaimokukominkan,金沢市材木町13番11号,石川県,金沢市,材木町,13番11号,,36.56692895,136.6675909,17,,1,1,,1,1,,,,1,,,,,,
石川県青少年総合研修センター,イシカワケンセイショウネンソウゴウケンシュウセンター,ishikawakenseishonensogokenshusenta,金沢市常盤町212番地１,石川県,金沢市,常磐町,212番地1,,36.56553,136.676437,45,,1,,,1,1,,,,1,,,,,,
卯辰山公園,ウタツヤマコウエン,utatsuyamakoen,金沢市末広町、卯辰町、東御影町、豊国町、常盤町、観音町３丁目、鳴和町、子来町、東長江町及び鈴見町の各一部,石川県,金沢市,末広町、卯辰町、東御影町、豊国町、常盤町、観音町３丁目、鳴和町、子来町、東長江町及び鈴見町の各一部,,,36.56876506,136.6814519,141.2,,1,1,,1,1,,,,,,,,,,
郡家山公園,グンケヤマコウエン,gunkeyamakoen,金沢市鈴見町郡家山1000番地,石川県,金沢市,鈴見町群家山,1000番地,,36.5598273,136.6858606,48.8,,,,,1,1,,,,,,,,,,
常盤町緑地,トキワマチリョクチ,tokiwamachiryokuchi,金沢市東御影町163番地１ほか,石川県,金沢市,東御影町,163番地1ほか,,36.56806109,136.6739477,54,,,,,1,1,,,,,,,,,,
睦が丘公園,ボクガオカコウエン,bokugaokakoen,金沢市鈴見台４丁目174番地ほか,石川県,金沢市,鈴見台4丁目,174番地ほか,,36.56391002,136.6895542,112,,1,1,,1,1,,,,,,,,,,
鈴見しょうぶ公園,スズミショウブコウエン,suzumishobukoen,金沢市もりの里３丁目1000番地,石川県,金沢市,もりの里3丁目,1000番地,,36.55968836,136.6838625,29,,,,,1,1,,,,,,,,,,
