名称,名称_カナ,名称_英字,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
旭町河畔公園,アサヒマチカハンコウエン,asahimachikahankoen,金沢市旭町１丁目52番地,石川県,金沢市,旭町１丁目,５２番地,,36.55076774,136.6879058,30.7,,,1,,1,1,,,,,,,,,,
旭町中央公園,アサヒマチチュウオウコウエン,asahimachichuokoen,金沢市旭町２丁目207番地,石川県,金沢市,旭町２丁目,２０７番地,,36.55357998,136.6840151,28.7,,,1,,1,1,,,,,,,,,,
医王の杜公園,イオウノモリコウエン,ionomorikoen,金沢市もりの里１丁目1000番地,石川県,金沢市,もりの里１丁目,１０００番地,,36.55230671,136.6876501,34.2,,,1,,1,1,,,,,,,,,,
若松せせらぎ公園,ワカマツセセラギコウエン,wakamatsuseseragikoen,金沢市若松町1000番地ほか,石川県,金沢市,若松町,１０００番地ほか,,36.55420706,136.6914594,37.9,,1,1,,1,1,,,,,,,,,,
若松町第２児童公園,ワカマツマチダイニジドウコウエン,wakamatsumachidainijidokoen,金沢市若松町ツ168番地１,石川県,金沢市,若松町ツ,１６８番地１,,36.55799691,136.6941391,61.2,,,,,1,1,,,,,,,,,,
若松八幡さん公園,ワカマツヤハタサンコウエン,wakamatsuyahatasankoen,金沢市若松町３丁目1000番地,石川県,金沢市,若松町３丁目,１０００番地,,36.55737256,136.6890668,43.8,,,,,1,1,,,,,,,,,,
浅野川すずかけ公園,アサノガワスズカケコウエン,asanogawasuzukakekoen,金沢市もりの里２丁目1000番地,石川県,金沢市,もりの里２丁目,１０００番地,,36.555672,136.6849659,28.5,,,1,,1,1,,,,,,,,,,
太陽が丘ゆうひみ公園,タイヨウガオカユウヒミコウエン,taiyogaokayuhimikoen,金沢市太陽が丘２丁目266番地ほか,石川県,金沢市,太陽が丘２丁目,266番地ほか,,36.53386822,136.705545,114.7,,1,1,,1,1,,,,,,,,,,
太陽が丘詩の木公園,タイヨウガオカシノキコウエン,taiyogaokashinokikoen,金沢市太陽が丘２丁目213番地,石川県,金沢市,太陽が丘２丁目,213番地,,36.5296754,136.705812,114.7,,1,1,,1,1,,,,,,,,,,
中瀬栃の木公園,ナカセトチノキコウエン,nakasetochinokikoen,金沢市上若松町1000番地,石川県,金沢市,若松町,1000番地,,36.55049407,136.6915131,46.4,,1,1,,1,1,,,,,,,,,,
田上さくらぶち公園,タガミサクラブチコウエン,tagamisakurabuchikoen,金沢市田上さくら１丁目100番地,石川県,金沢市,田上さくら1丁目,100番地,,36.54227427,136.6898825,38.9,,,1,,1,1,,,,,,,,,,
田上郷公園,タガミゴウコウエン,tagamigokoen,金沢市田上の里１丁目195番地,石川県,金沢市,田上の里1丁目,195番地,,36.54411066,136.6940164,47.6,,1,1,,1,1,,,,,,,,,,
田上桜の道公園,タガミサクラノミチコウエン,tagamisakuranomichikoen,金沢市田上さくら３丁目111番地,石川県,金沢市,田上さくら3丁目,111番地,,36.54750183,136.6886028,34.8,,,1,,1,1,,,,,,,,,,
田上児童公園,タガミジドウコウエン,tagamijidokoen,金沢市田上新町234番地１ほか,石川県,金沢市,田上新町,234番地1ほか,,36.54336203,136.6998277,88.3,,,,,1,1,,,,,,,,,,
田上中央公園,タガミチュウオウコウエン,tagamichuokoen,金沢市田上１丁目６番地,石川県,金沢市,田上1丁目,6番地,,36.54327507,136.6964987,67.1,,,,,1,1,,,,,,,,,,
田上本町高嶋公園,タガミホンマチタカナリコウエン,tagamihommachitakanarikoen,金沢市田上本町３丁目52番地１,石川県,金沢市,田上本町3丁目,52番地1,,36.53777511,136.6965471,53.3,,1,1,,1,1,,,,,,,,,,
田上本町朝霧公園,タガミホンマチアサキリコウエン,tagamihommachiasakirikoen,金沢市田上本町１番地１,石川県,金沢市,田上本町,1番地1,,36.53448302,136.693384,46,,,1,,1,1,,,,,,,,,,
田上本町馬場公園,タガミホンマチババコウエン,tagamihommachibabakoen,金沢市田上本町１丁目１番地,石川県,金沢市,田上本町1丁目,1番地,,36.53208279,136.6989168,54.9,,1,1,,1,1,,,,,,,,,,
太陽が丘しいの木公園,タイヨウガオカシイノキコウエン,taiyogaokashiinokikoen,金沢市太陽ヶ丘土地区画整理事業地内７工区11街区,石川県,金沢市,太陽が丘土地画整理事業地内7工区11街区,,,36.53462662,136.7076216,120.3,,1,1,,1,1,,,,,,,,,,
旧金沢市立東浅川小学校,キュウカナザワシリツヒガシアサカワショウガッコウ,kyukanazawashiritsuhigashiasakawashogakko,金沢市浅川町イ140番地１,石川県,金沢市,浅川町イ,140番地1,,36.518645,136.706788,66.9,,1,,,1,1,,,,1,,,,,,
金沢市東浅川公民館,カナザワシヒガシアサカワコウミンカン,kanazawashihigashiasakawakominkan,金沢市上中町ニ14番地,石川県,金沢市,上中町ニ,14番地,,36.5204318,136.7054949,62.7,,,1,,,1,,,,1,,,,,,
湖南学院,コナンガクイン,konangakuin,金沢市上中町ロ11番地1,石川県,金沢市,上中町ロ,11番地1,,36.51739,136.703246,113,,1,1,,1,1,,,,1,,,,,,
俵交流芸術スタジオ,タワラコウリュウゲイジュツスタジオ,tawarakoryugeijutsusutajio,金沢市俵町ヘ乙22番地,石川県,金沢市,俵町へ乙,22番地,,36.53429257,136.72367,222.4,,1,1,,1,1,,,,1,,,,,,
金沢市キゴ山ふれあい研修センター青少年交流棟,カナザワシキゴヤマフレアイケンシュウセンターセイショウネンコウリュウトウ,kanazawashikigoyamafureaikenshusentaseishonenkoryuto,金沢市小豆沢町ヲ４番地,石川県,金沢市,大豆沢町ヲ,4番地,,36.52375634,136.7459503,396.3,,1,1,,1,1,,,,1,,,,,,
金沢市キゴ山ふれあい研修センターこども交流棟,カナザワシキゴヤマフレアイケンシュウセンターコドモコウリュウトウ,kanazawashikigoyamafureaikenshusentakodomokoryuto,金沢市平等本町カ13番地１,石川県,金沢市,平等本町カ,13番地1,,36.51797256,136.7429247,398.4,,1,1,,1,1,,,,1,,,,,,
金沢市戸室スポーツ広場,カナザワシトムロスポーツヒロバ,kanazawashitomurosupotsuhiroba,金沢市戸室新保ト35番地,石川県,金沢市,戸室新保ト,35番地,,36.54607544,136.7325575,194.1,,1,1,,1,1,,,,,,,,,,
金沢市俵公民館,カナザワシタワラコウミンカン,kanazawashitawarakominkan,金沢市俵町ツ63番地２,石川県,金沢市,俵町ツ,63番地2,,36.53439134,136.725048,224.1,,1,1,,,1,,,,1,,,,,,
金沢市立医王山小学校,カナザワシリツイオウザンショウガッコウ,kanazawashiritsuiozanshogakko,金沢市二俣町サ21番地,石川県,金沢市,二俣町サ,21番地,,36.555475,136.7598309,117.8,,1,1,,1,1,,,,1,,,,,,
金沢市立医王山中学校,カナザワシリツイオウザンチュウガッコウ,kanazawashiritsuiozanchugakko,金沢市二俣町サ21番地,石川県,金沢市,二俣町サ,21番地,,36.555661,136.7598188,117.8,,1,1,,1,1,,,,1,,,,,,
金沢市医王山公民館,カナザワシイオウザンコウミンカン,kanazawashiiozankominkan,金沢市二俣町６の14番地９,石川県,金沢市,二俣町,6の14番地9,,36.56207208,136.7619483,86.8,,1,1,,1,1,,,,1,,,,,,
金沢市立森本小学校,カナザワシリツモリモトショウガッコウ,kanazawashiritsumorimotoshogakko,金沢市南森本町イ24番地,石川県,金沢市,南森本町イ,24番地,,36.62277274,136.693158,4.5,,1,1,,1,1,,,,1,,,,,,
石川県立金沢北陵高等学校,イシカワケンリツカナザワホクリョウコウトウガッコウ,ishikawakenritsukanazawahokuryokotogakko,金沢市吉原町ワ21番地,石川県,金沢市,吉原町ワ,21番地,,36.60731924,136.6927542,61,,1,1,,1,1,,,,1,,,,,,
金沢市立森本中学校,カナザワシリツモリモトチュウガッコウ,kanazawashiritsumorimotochugakko,金沢市弥勒町ヨ22番地,石川県,金沢市,弥靭町ヨ,22番地,,36.61585074,136.6915604,5.1,,1,1,,1,1,,,,1,,,,,,
金沢市森本公民館,カナザワシモリモトコウミンカン,kanazawashimorimotokominkan,金沢市南森本町チ103番地１,石川県,金沢市,南森本町チ,103番地1,,36.61666181,136.6933504,5.6,,1,1,,1,1,,,,1,,,,,,
金沢市営森本市民体育館,カナザワシエイモリモトシミンタイイクカン,kanazawashieimorimotoshimintaiikukan,金沢市弥勒町ヨ50番地１,石川県,金沢市,弥靭町ヨ,50番地1,,36.61582909,136.6925308,5.7,,,1,,1,1,,,,1,,,,,,
吉原児童公園,ヨシハラジドウコウエン,yoshiharajidokoen,金沢市吉原町ヨ23番地,石川県,金沢市,吉原町ヨ,23番地,,36.60960263,136.6924796,9.1,,1,1,,1,1,,,,,,,,,,
森本こどもグラウンド,モリモトコドモグラウンド,morimotokodomoguraundo,金沢市塚崎町ハ47番地１,石川県,金沢市,塚崎町ハ,47番地1,,36.61487437,136.6969503,8.1,,,1,,1,1,,,,,,,,,,
森本しちょうが丘公園,モリモトシチョウガオカコウエン,morimotoshichogaokakoen,金沢市南森本町ワ102番地ほか,石川県,金沢市,南森町ワ,102番地ほか,,36.61629121,136.6985278,6.6,,,1,,1,1,,,,,,,,,,
金沢市立花園小学校,カナザワシリツハナゾノショウガッコウ,kanazawashiritsuhanazonoshogakko,金沢市今町ヌ34番地,石川県,金沢市,今町ヌ,34番地,,36.63262249,136.7082292,5.1,,1,1,,1,1,,,,1,,,,,,
旧金沢市立上平小学校,キュウカナザワシリツウエヒラショウガッコウ,kyukanazawashiritsuehirashogakko,金沢市上平町ハ25番地,石川県,金沢市,上平町ハ,25番地,,36.62775862,136.773865,94.4,,1,1,,,1,,,,1,,,,,,
旧金沢市立朝日小学校,キュウカナザワシリツアサヒショウガッコウ,kyukanazawashiritsuasahishogakko,金沢市加賀朝日町ホ33番地,石川県,金沢市,加賀朝日町ホ,33番地,,36.62268612,136.7556051,161.2,,1,1,,,1,,,,1,,,,,,
金沢市花園公民館,カナザワシハナゾノコウミンカン,kanazawashihanazonokominkan,金沢市今町チ41番地,石川県,金沢市,今町チ,41番地,,36.63347397,136.7076224,3,,1,1,,1,1,,,,1,,,,,,
金沢市湖南公民館,カナザワシコナンコウミンカン,kanazawashikonankominkan,金沢市八田町東1459番地１,石川県,金沢市,八田町東,1459番地1,,36.63313925,136.6860875,1.1,,1,1,,1,1,,,,1,,,,,,
石川県立金沢向陽高等学校,イシカワケンリツカナザワコウヨウコウトウガッコウ,ishikawakenritsukanazawakoyokotogakko,金沢市大場町東590番地,石川県,金沢市,大場町東,590番地,,36.62400924,136.687387,2.9,,1,1,,1,1,,,,1,,,,,,
金沢競馬場,カナザワケイバジョウ,kanazawakeibajo,金沢市八田町西１番地,石川県,金沢市,八田町西,1番地,,36.63357139,136.6756981,1.1,,,1,,1,1,,,,,,,,,,
湖陽児童公園,コヨウジドウコウエン,koyojidokoen,金沢市湖陽１丁目133番地,石川県,金沢市,湖陽1丁目,133番地,,36.62589562,136.6881364,3.2,,,1,,1,1,,,,,,,,,,
湖陽緑道公園,コヨウリョクドウコウエン,koyoryokudokoen,金沢市湖陽１丁目79番地,石川県,金沢市,湖陽1丁目,79番地,,36.62741398,136.6885794,3.2,,,1,,1,1,,,,,,,,,,
北部公園,ホクブコウエン,hokubukoen,金沢市忠縄町,石川県,金沢市,忠縄町,,,36.62699714,136.6922515,3.8,,,1,,1,1,,,,,,,,,,
柳瀬川つつみ公園,ヤナセガワツツミコウエン,yanasegawatsutsumikoen,金沢市大場町西21番地１ほか,石川県,金沢市,大場町西,21番地1ほか,,36.63344999,136.6706282,1.9,,,1,,1,1,,,,,,,,,,
金沢市立不動寺小学校,カナザワシリツフドウジショウガッコウ,kanazawashiritsufudojishogakko,金沢市不動寺町イ33番地,石川県,金沢市,不動寺町イ,33番地,,36.60856275,136.7083715,15.9,,1,1,,1,1,,,,1,,,,,,
金沢市薬師谷公民館,カナザワシヤクシダニコウイミンカン,kanazawashiyakushidanikoiminkan,金沢市不動寺町イ34番地１,石川県,金沢市,不動寺町イ,34番地1,,36.60805464,136.7086834,14.8,,1,1,,1,1,,,,1,,,,,,
河原市町みずほ中央公園,カワライチマチミズホチュウオウコウエン,kawaraichimachimizuhochuokoen,金沢市河原市町30番地,石川県,金沢市,河原市町,30番地,,36.60365103,136.710508,15.1,,,1,,1,1,,,,,,,,,,
金沢市立三谷小学校,カナザワシリツミタニショウガッコウ,kanazawashiritsumitanishogakko,金沢市宮野町ニ277番地,石川県,金沢市,宮野町ニ,277番地,,36.59600326,136.7365386,26.7,,,1,,1,1,,,,1,,,,,,
金沢市三谷公民館,カナザワシミタニコウミンカン,kanazawashimitanikominkan,金沢市宮野町ホ79番地,石川県,金沢市,宮野町ホ,79番地,,36.59676216,136.7372818,28.9,,,1,,1,1,,,,1,,,,,,
御祓地区コミュニティセンター,ミソギチクコミュニティセンター,misogichikukomyuniteisenta,石川県七尾市一本杉町１２４,石川県,七尾市,一本杉町,124番地,,37.04827939,136.9613864,2.7,,1,1,1,1,1,,1,,1,屋内191人／屋外0人(面積の1/2),,,,,
七尾中学校,ナナオチュウガッコウ,nanaochugakko,石川県七尾市藤橋町辰部５２－１,石川県,七尾市,藤橋町辰部,52番地1,,37.037932,136.958599,3.9,,1,1,1,1,1,1,1,,1,"屋内1,371人／屋外5,470人（面積の1/2）",,,,,
県立七尾高等学校,ケンリツナナオコウトウガッコウ,kenritsunanaokotogakko,石川県七尾市西藤橋町エ１－１,石川県,七尾市,西藤橋町エ,1番地1,,37.04249566,136.9589127,3.2,,1,1,1,1,1,1,1,,1,"屋内2,736人屋外11,700人（面積の1/2）",,,,,
県立七尾城北高等学校,ケンリツナナオジョウホクコウトウガッコウ,kenritsunanaojohokukotogakko,石川県七尾市西藤橋町エ１－１,石川県,七尾市,西藤橋町エ,1番地1,,37.04330706,136.9595551,3.2,0767-53-0821,1,1,1,1,1,,1,,1,屋内240人／屋外0人（面積の1/2）,,,,,
小丸山城址公園,コマルヤマシロアトコウエン,komaruyamashiroatokoen,石川県七尾市馬出町子１－１,石川県,七尾市,馬出町子,1番地1,,37.04627049,136.960134,16,0767-53-7705,1,1,1,1,1,1,1,,,"屋内0人／屋外9,700人(面積の1/2)",,,,,
県中能登総合事務所（駐車場）,ケンナカノトソウゴウジムショ（チュウシャジョウ）,kennakanotosogojimusho（chushajo）,石川県七尾市小島町ニ３３,石川県,七尾市,小島町ニ,33番地,,37.04829442,136.9585352,5,0767-52-3187,1,1,1,1,1,1,1,,,"屋内0人／屋外1,910人(面積の1/2)",,,,,
桜町児童公園,サクラマチジドウコウエン,sakuramachijidokoen,石川県七尾市桜町７９,石川県,七尾市,桜町,79番地,,37.05112177,136.9643406,1.5,0767-53-1897,1,1,,1,,1,1,,,屋内0人／屋外750人(面積の1/2),,,,,
七尾産業福祉センター（４F）,ナナオサンギョウフクシセンター（ヨンカイ）,nanaosangyofukushisenta（yonkai）,石川県七尾市三島町７０－１,石川県,七尾市,三島町,70番地1,,37.0439883,136.9514026,2,0767-53-8429,,,1,,1,,,,,"屋内1,956人／屋外0人(面積の1/2)",,,,,
恵寿総合病院（本館）（４F）,ケイジュソウゴウビョウイン（ホンカン）（ヨンカイ）,keijusogobyoin（honkan）（yonkai）,石川県七尾市富岡町９４,石川県,七尾市,富岡町,94番地,,37.050254,136.9615224,1,0767-52-6111,,,1,,1,,,,,"屋内1,028人／屋外0人(面積の1/2)",,,,,
ローレルハイツ恵寿（３F）,ローレルハイツメグミコトブキ（サンカイ）,roreruhaitsumegumikotobuki（sankai）,石川県七尾市富岡町９５,石川県,七尾市,富岡町,95番地,,37.0502448,136.9607959,2,0767-53-8429,,,1,,1,,,,,屋内879人／屋外0人(面積の1/2),,,,,
北陸電力株式会社,ホクリクデンリョクカブシキカイシャ ナナオシシャ（オクジョウ）,hokurikudenryokukabushikikaisha nanaoshisha（okujo）,石川県七尾市三島町６１－７,石川県,七尾市,三島町,61番地7,,37.0480759,136.9657265,1.1,0767-54-8888,,,1,,1,,,,,屋内604人／屋外0人(面積の1/1),,,,,
パトリア（４F）,パトリア（ヨンカイ）,patoria（yonkai）,石川県七尾市御祓町１,石川県,七尾市,御祓町,1番地,,37.0434525,136.9632565,7,0767-52-3211,,,1,,1,,,,,"屋内39,400人／屋外0人(面積の1/1)",,,,,
ミナ.クル（４F）,ミナ.クル（ヨンカイ）,mina.kuru（yonkai）,石川県七尾市神明町１,石川県,七尾市,神明町,1番地,,37.0432821,136.964514,6,0767-52-6014,,,1,,1,,,,,"屋内13,997人／屋外0人(面積の1/1)",,,,,
DSGアリーナ七尾店（立体駐車場4F）,ディーエスジーアリーナナナオテン（リッタイチュウシャジョウヨンカイ）,deiesujiarinananaoten（rittaichushajoyonkai）,石川県七尾市藤橋町亥２１,石川県,七尾市,藤橋町亥,21番地,,37.0369758,136.9547922,7,0767-53-0203,,,1,,1,,,,,"屋内1,550人／屋外0人（面積の1/1）",,,,,
山王小学校,サンノウショウガッコウ,sannoshogakko,石川県七尾市山王町ツ３４,石川県,七尾市,山王町ツ,34番地,,37.04153574,136.9743522,4.2,0767-57-5018,1,1,1,1,1,1,1,,1,"屋内480人／屋外3,350人(面積の1/2)",,,,,
みなとふれあいスポーツセンター,ミナトフレアイスポーツセンター,minatofureaisupotsusenta,石川県七尾市矢田新町ニ１－１,石川県,七尾市,矢田新町ニ,1番地1,,37.04963334,136.9776827,1.7,0767-53-2020,1,1,1,1,1,1,1,,1,屋内524人／屋外0人(面積の1/2),,,,,
みなと小公園,ミナトショウコウエン,minatoshokoen,石川県七尾市矢田新町２－５８－１,石川県,七尾市,矢田新町2丁目,58番地1,,37.04881194,136.9772735,2.4,0767-52-1133,1,1,,1,,1,1,,,"屋内0人／屋外1,201人(面積の1/2)",,,,,
湊町都市再開発用地,ミナトチョウトシサイカイハツヨウチ,minatochotoshisaikaihatsuyochi,石川県七尾市矢田新町ハ,石川県,七尾市,矢田新町ハ,,,37.04688396,136.9740738,1.2,0767-53-0586,1,1,,1,,1,1,,,"屋内0人／屋外7,827人(面積の1/2)",,,,,
七尾マリンパーク,ナナオマリンパーク,nanaomarimpaku,石川県七尾市府中町員外６７,石川県,七尾市,府中町員外,67番地,,37.04845872,136.9698786,2,0767-52-1218,1,1,,1,,1,1,,,"屋内0人／屋外12,555人(面積の1/2)",,,,,
ポートサイド七尾（５F）,ポートサイドナナオ（ゴカイ）,potosaidonanao（gokai）,石川県七尾市矢田新町地先埋立地,石川県,七尾市,矢田新町地先埋立地,,,37.04953513,136.9761509,0,0767-53-0440,,,1,,1,,,,,屋内537人／屋外0人(面積の1/1),,,,,
プラザ信開,プラザシンカイ カワハラマチ（ヨンカイ）,purazashinkai kawaharamachi（yonkai）,石川県七尾市川原町１８,石川県,七尾市,川原町,18番地,,37.04212958,136.9696397,2.6,0767-53-0440,,,1,,1,,,,,屋内527人／屋外0人(面積の1/1),,,,,
ホテルルートイン,ホテルルートイン ナナオヒガシ（ヨンカイ）,hoterurutoin nanaohigashi（yonkai）,石川県七尾市本府中町ハ３１－１,石川県,七尾市,本府中町ハ,31番地1,,37.04184593,136.9672722,3,0767-53-0440,,,1,,1,,,,,"屋内3,435人／屋外0人(面積の1/1)",,,,,
袖ケ江立体駐車場（４F）,ソデガエリッタイチュウシャジョウ（ヨンカイ）,sodegaerittaichushajo（yonkai）,石川県七尾市袖ケ江町１２,石川県,七尾市,袖ケ江町,12番地,,37.043751,136.9673563,3,0767-53-1250,,,1,,1,,,,,"屋内3,227人／屋外0人(面積の1/1)",,,,,
七尾市役所（４F）,ナナオシヤクショ（ヨンカイ）,nanaoshiyakusho（yonkai）,石川県七尾市袖ケ江町イ２５,石川県,七尾市,袖ケ江町イ,25番地,,37.0430915,136.9674127,3,0767-53-4111,,,1,,1,,,,,屋内629人／屋外0人(面積の1/1),,,,,
のと共栄信用金庫,ノトキョウエイシンヨウキンコホンテン（サンカイ）,notokyoeishinyokinkohonten（sankai）,石川県七尾市桧物町３５,石川県,七尾市,桧物町,35番地,,37.04523794,136.9652221,9,0767-54-0111,,,1,,1,,,,,"屋内1,155人／屋外0人(面積の1/1)",,,,,
徳田地区コミュニティセンター,トクダチクコミュニティセンター,tokudachikukomyuniteisenta,石川県七尾市中挟町リ２３,石川県,七尾市,中挟町リ,23番地,,37.01232499,136.9489551,3.8,0767-53-1111,1,1,,1,,,1,,1,屋内211人／屋外0人(面積の1/2),,,,,
県立七尾東雲高等学校,ケンリツナナオシノノメコウトウガッコウ,kenritsunanaoshinonomekotogakko,石川県七尾市下町戊部１２－１,石川県,七尾市,下町戊部,12番地1,,37.01260339,136.929546,29.8,0767-53-1111,1,1,,1,,1,1,,1,"屋内1,010人／屋外12,300人(面積の1/2)",,,,,
朝日小学校,アサヒショウガッコウ,asahishogakko,石川県七尾市下町戌１７－１,石川県,七尾市,下町戌,17番地1,,37.00998087,136.9306692,30.5,0767-54-0592,1,1,,1,,1,1,,1,"屋内522人／屋外6,630人(面積の1/2)",,,,,
南部体育館,ナンブタイイクカン,nambutaiikukan,石川県七尾市下町戌１７－１,石川県,七尾市,下町戌,17番地1,,37.01029786,136.9299021,30.3,0767-57-1252,1,1,,1,,,1,,1,屋内412人／屋外0人(面積の1/2),,,,,
ふれあいセンター山びこ荘,フレアイセンターヤマビコソウ,fureaisentayamabikoso,石川県七尾市多根町ハカノ谷内５５５－７,石川県,七尾市,多根町ハカノ谷内,555番地7,,36.97558663,136.9608916,340.6,0767-57-1411,1,1,,1,,1,1,,1,"屋内270人／屋外1,000人(面積の1/2)",,,,,
能登国分寺公園,ノトコクブンジコウエン,notokokubunjikoen,石川県七尾市国分町リ９,石川県,七尾市,国分町リ,9,,37.02443704,136.9573457,14.7,0767-57-1540,1,1,,1,,1,1,,,"屋内0人／屋外27,664人(面積の1/2)",,,,,
能登歴史公園,ノトレキシコウエン,notorekishikoen,石川県七尾市国分町地内,石川県,七尾市,国分町地内,,,37.02279061,136.9546903,16,0767-57-1252,1,1,,1,,1,1,,,"屋内0人／屋外30,000人(面積の1/2)",,,,,
オークラ,オークラ コクブンテン（リッタイチュウシャバ３F）,okura kokubunten（rittaichushaba３F）,石川県七尾市国分町ラ５０,石川県,七尾市,国分町ラ,50,,37.03494024,136.9519782,6,0767-57-0022,,,1,,1,,,,,"屋内1,526人／屋外0人(面積の1/1)",,,,,
矢田郷地区コミュニティセンター,ヤダゴウチクコミュニティセンター,yadagochikukomyuniteisenta,石川県七尾市本府中町ヲ３８,石川県,七尾市,本府中町ヲ,38,,37.03371533,136.9700514,14.8,0767-52-9850,1,1,1,1,1,1,1,,1,"屋内1,700人／屋外2,250人(面積の1/2)",,,,,
七尾市文化ホール,ナナオシブンカホール,nanaoshibunkahoru,石川県七尾市本府中町ヲ３８,石川県,七尾市,本府中町ヲ,38,,37.0332495,136.9696101,14.3,0767-57-5100,1,1,1,1,1,,1,,1,屋内990人／屋外0人(座席数),,,,,
天神山小学校,テンジンヤマショウガッコウ,tenjinyamashogakko,石川県七尾市本府中町天神山１,石川県,七尾市,本府中町天神山,1,,37.03158334,136.9746018,21.7,0767-53-6857,1,1,1,1,1,1,1,,1,"屋内460人／屋外3,760人(面積の1/2)",,,,,
七尾東部中学校,ナナオトウブチュウガッコウ,nanaotobuchugakko,石川県七尾市藤野町リ１,石川県,七尾市,藤野町リ,1,,37.02767123,136.969073,15.9,0767-52-5240,1,1,1,1,1,1,1,,1,"屋内1,054人／屋外18,550人(面積の1/2)",,,,,
七尾市城山体育館,ナナオシジョウヤマタイイクカン,nanaoshijoyamataiikukan,石川県七尾市後畠町後山４－５,石川県,七尾市,後畠町後山,４ー５,,37.02612032,136.9712123,40.6,0767-53-1160,1,1,1,1,1,1,1,,1,屋内730人／屋外0人(面積の1/2),,,,,
七尾市城山運動公園,ナナオシジョウヤマウンドウコウエン,nanaoshijoyamaundokoen,石川県七尾市後畠町ハ２,石川県,七尾市,後畠町ハ,2,,37.02494522,136.9710014,45.5,0767-52-5201,1,1,1,1,1,1,1,,,"屋内0人／屋外52,000人(面積の1/2)",,,,,
鵬学園高等学校（第２グラウンド）,オオトリガクエンコウトウガッコウ（ダイニグラウンド）,otorigakuenkotogakko（dainiguraundo）,石川県七尾市矢田町メ１,石川県,七尾市,矢田町メ,1,,37.03093954,136.977425,27.6,0767-53-0812,1,1,1,1,1,1,1,,,"屋内0人／屋外3,615人(面積の1/2)",,,,,
七尾東部用地（本府中グラウンドゴルフ場）,ナナオトウブヨウチ（モトフチュウグラウンドゴルフジョウ）,nanaotobuyochi（motofuchuguraundogorufujo）,石川県七尾市本府中町ソ,石川県,七尾市,本府中町ソ,,,37.0394366,136.9719672,5,0767-52-6419,1,1,1,1,1,1,1,,,"屋内0人／屋外2,550人(面積の1/2)",,,,,
矢田郷児童公園,ヤタゴウジドウコウエン,yatagojidokoen,石川県七尾市矢田町３－４１,石川県,七尾市,矢田町,３ー４１,,37.04100764,136.9765299,5,0767-52-6419,1,1,1,1,1,1,1,,,屋内0人／屋外850人(面積の1/2),,,,,
旧　七尾工業高校　運動場,キュウ　ナナオコウギョウコウコウ（ウンドウジョウ）,kyu　nanaokogyokoko（undojo）,石川県七尾市南ヶ丘３４２,石川県,七尾市,南ヶ丘,342,,36.9945304,137.0519353,44,0767-53-2184,1,1,1,1,1,1,1,,,"屋内0人／屋外7,505人(面積の1/2)",,,,,
東湊地区コミュニティセンター,ヒガシミナトチクコミュニティセンター,higashiminatochikukomyuniteisenta,石川県七尾市佐味町ト２－３,石川県,七尾市,佐味町ト,２ー３,,37.04830435,136.9975929,3,076-225-1262,1,1,1,1,1,,1,,1,屋内145人／屋外0人(面積の1/2),,,,,
東湊小学校,ヒガシミナトショウガッコウ,higashiminatoshogakko,石川県七尾市佐味町１０－４,石川県,七尾市,佐味町,１０ー４,,37.04707751,136.9982688,3,0767-53-8429,1,1,1,1,1,1,1,,1,"屋内350人／屋外4,480人(面積の1/2)",,,,,
郷橋ふれあいセンター,ゴウバシフレアイセンター,gobashifureaisenta,石川県七尾市殿町ル６７,石川県,七尾市,殿町ル,67番地,,37.05059362,137.0231493,69,076-225-1811,1,1,1,1,1,1,1,,1,屋内90人／屋外0人(面積の1/2),,,,,
希望の丘公園,キボウノオカコウエン,kibonokakoen,石川県七尾市万行町４３－１８８,石川県,七尾市,万行町,４３ー１８８,,37.03041059,136.9903695,58,0767-52-5319,1,1,1,1,1,1,1,,,"屋内0人／屋外118,970人(面積の1/2)",,,,,
西湊地区コミュニティセンター,ニシミナトチクコミュニティセンター,nishiminatochikukomyuniteisenta,石川県七尾市津向町松山１,石川県,七尾市,津向町松山,1,,37.05768562,136.9504753,4,0767-52-3149,1,1,1,1,1,,1,,1,屋内244人／屋外0人(面積の1/2),,,,,
小丸山小学校,コマルヤマショウガッコウ,komaruyamashogakko,石川県七尾市小島町チ３,石川県,七尾市,小島町チ,３ー４１,,37.04682031,136.9534302,5,0767-52-0959,1,1,1,1,1,1,1,,1,"屋内466人／屋外3,060人(面積の1/2)",,,,,
七尾総合市民体育館,ナナオソウゴウシミンタイイクカン,nanaosogoshimintaiikukan,石川県七尾市小島町西４,石川県,七尾市,小島町西,4,,37.0438336,136.952608,15,0767-52-9266,1,1,1,1,1,1,1,,1,屋内720人／屋外0人(面積の1/2),,,,,
七尾市武道館,ナナオシブドウカン,nanaoshibudokan,石川県七尾市小島町西５,石川県,七尾市,小島町西,5,,37.04368802,136.953477,15,0767-52-2623,1,1,1,1,1,,1,,1,"屋内1,172人／屋外0人(面積の1/2)",,,,,
