和暦,西暦,月日,分類,事項,出典
明治二十六年,1893,6月20日,社会・文化,教育家島田定静死去。62歳。金沢藩文学訓蒙、石川県師範教諭などを勤め、のち私塾を開いた。,金沢の百年　明治編
明治二十六年,1893,7月5日,社会・文化,石川県尋常中学校が新道町の私立大谷尋常中学校校舎を借受け創設された。大谷尋常中学校の生徒も引継いだ。,金沢の百年　明治編
明治二十六年,1893,7月26日,社会・文化,北陸新報主筆赤羽万次郎が退社した。,金沢の百年　明治編
明治二十六年,1893,8月5日,社会・文化,北国新聞の第1号が発刊された。社主赤羽万次郎。,金沢の百年　明治編
明治二十六年,1893,8月10日,社会・文化,23年県が上海の日清貿易研究所に送った県費留学生9人中7人が本年6月卒業、うち4人が金沢に帰り、3人は清国にとどまった。2人は中途退学。,金沢の百年　明治編
明治二十六年,1893,8月11日,社会・文化,金沢の相馬勝之、小竹才六、竹田与八郎、藤田多賀蔵、飯島佐之六、大桑十左衛門の諸氏が石川県能楽会を組織した。,金沢の百年　明治編
明治二十六年,1893,8月15日,社会・文化,下新町新富座で清玉一座のじょうるり興行があり、連日大入りだった。,金沢の百年　明治編
明治二十六年,1893,8月21日,社会・文化,英学者芝木昌平死去。59歳。壮猶館等で洋学を教授、のち金沢で私塾英文学館を開いた。,金沢の百年　明治編
明治二十六年,1893,8月24日,社会・文化,（能登汽船会社の和合丸が穴水の手前で沈没した。乗船者83人中死者5人、行方不明11人。）,金沢の百年　明治編
明治二十六年,1893,8月25日,社会・文化,白山比咩神社宮司横山政和（蔵人）死去。59歳。元加賀藩家老（1万石）。,金沢の百年　明治編
明治二十六年,1893,9月2日,社会・文化,新町中町の見付に新築の朝日座は菊川猪三郎一座で舞台開きをした。,金沢の百年　明治編
明治二十六年,1893,9月4日,社会・文化,前田慶寧贈位慶賀式（7月14日従2位追贈）がおこなわれ、各町からの催し物が3日間続いた。,金沢の百年　明治編
明治二十六年,1893,9月7日,社会・文化,安井顕比（綿山）東京で死去。64歳。維新のとき加賀藩選出の徴士となり、越後府権判事、金沢藩権大参事を勤め前田家で藩史編さんにあずかった。,金沢の百年　明治編
明治二十六年,1893,9月8日,社会・文化,小立野北陸英和学校が私立北陸学校と改称した。,金沢の百年　明治編
明治二十六年,1893,9月14日,社会・文化,夜、森下町67番地から出火、全焼41戸、半焼4戸を出した。,金沢の百年　明治編
明治二十六年,1893,9月15日,社会・文化,国学者歌人高橋富兄が第四高等学校教授に任官した。,金沢の百年　明治編
明治二十六年,1893,9月17日,社会・文化,重野安繹、大倉雨村が来沢、数日滞在した。,金沢の百年　明治編
明治二十六年,1893,9月20日,社会・文化,金沢警察署の調査による市内の人力車数は800余両。,金沢の百年　明治編
明治二十六年,1893,9月20日,社会・文化,石井盈、松本文太郎共編の「石川県史談」が刊行された。小学校用に編集されたもの。,金沢の百年　明治編
明治二十六年,1893,9月27日,社会・文化,夜9時、香林坊の一部が突然崩れ香林坊橋は往来止めとなった。,金沢の百年　明治編
明治二十六年,1893,9月28日,社会・文化,雑誌「金沢の実業」第1号が発刊された。編集人松本文太郎（材木町）。,金沢の百年　明治編
明治二十六年,1893,10月1日,社会・文化,"倉谷鉱山鉱毒事件で清水兼之ら7,8人が逮捕された。",金沢の百年　明治編
明治二十六年,1893,10月4日,社会・文化,倉谷鉱山の鉱毒について関係者100余人が県庁に龍岡書記官をたずね、保護を嘆願した。,金沢の百年　明治編
明治二十六年,1893,10月10月,社会・文化,人情講談の神田小伯円が十三間町の客席に来演した。,金沢の百年　明治編
明治二十六年,1893,10月12日,社会・文化,白山比咩神社宮司に石川昌三郎が就任した。,金沢の百年　明治編
明治二十六年,1893,10月15日,社会・文化,今様能狂言の泉祐三郎一座が香林坊福助座で興行した。,金沢の百年　明治編
明治二十六年,1893,10月18日,社会・文化,「ト一亭」が梅本町から橋場町中村楼跡に移転した。,金沢の百年　明治編
明治二十六年,1893,10月30日,社会・文化,第四高等学校の新築落成式を挙行した。,金沢の百年　明治編
明治二十六年,1893,10月31日,社会・文化,鈴木華邨（工業学校絵画教師）が辞任帰京した。,金沢の百年　明治編
明治二十六年,1893,11月1日,社会・文化,香林坊の寄席寿座が新築落成し、披露に睦太夫、村太夫、春玉らのじょうるりが興行された。座主池田円平。,金沢の百年　明治編
明治二十六年,1893,11月6日,社会・文化,法学士忍月石橋友吉が北国新聞に入社した。,金沢の百年　明治編
明治二十六年,1893,11月10日,社会・文化,石川県工業学校教授嘱託納富介次郎（初代同校長）が辞表を出した。,金沢の百年　明治編
明治二十六年,1893,11月13日,社会・文化,西本願寺別院の大門上棟式が雨中挙行された。,金沢の百年　明治編
明治二十六年,1893,11月13日,社会・文化,石川県尋常中学校の独逸語教師米人スナット・グラスがこの日から出勤した。,金沢の百年　明治編
明治二十六年,1893,12月13日,社会・文化,刀剣鑑定家本阿弥長識（芍楽亭長根）死去。維新前後加賀藩に仕え、宮内省に奉職中であった。,金沢の百年　明治編
明治二十六年,1893,12月21日,社会・文化,小松町の書店宇都宮源平が金沢石浦町に支店を設け、弟を支配人とした。,金沢の百年　明治編
明治二十六年,1893,12月24日,社会・文化,（午前4時能美郡寺井町で大火、144戸焼失。）,金沢の百年　明治編
明治二十六年,1893,12月28日,社会・文化,西警察署は市中をうろつく乞食21人を捕え市役所へ引渡した。,金沢の百年　明治編
明治二十六年,1893,12月29日,社会・文化,市内で貸本屋が次第に増加している。おもな店はテカナス（下新町）松栄（尾張町）菁々堂（竪町）石井（片町）棚田（石浦町）森井（尾張町）金原堂（尾張町）など。,金沢の百年　明治編
明治二十六年,1893,月日未詳,社会・文化,小川昌子（のち直子）が高輪御所の御用育係になった。旧藩士小川幸三の妻である。,金沢の百年　明治編
明治二十七年,1894,1月19日,政治・経済,市は末廣町に貧民救恤所を設けて入居者に開墾の仕事をさせ、後にこれを与えることにした。,金沢の百年　明治編
明治二十七年,1894,2月14日,政治・経済,市立消防組設置のため市会に調査委員会を設けた。（当時私立消防は11組あったが現場での規律統制に遺憾な点があった）,金沢の百年　明治編
明治二十七年,1894,2月19日,政治・経済,市助役佐野鍵吉の軽挙に非難百出し、佐野は病気と称して辞職した。（在職9ヵ月）,金沢の百年　明治編
明治二十七年,1894,2月23日,政治・経済,助役佐野鍵吉の後任に市議高島伸二郎を選出した。（24日県知事認可）,金沢の百年　明治編
明治二十七年,1894,3月16日,政治・経済,新設予定の金沢停車場の位置につき市会は意見上申のための市会開会を要求した。,金沢の百年　明治編
明治二十七年,1894,3月24日,政治・経済,平野太吉から設立認可申請中の金沢倉庫会社が認可になった。,金沢の百年　明治編
明治二十七年,1894,3月26日,政治・経済,市は土木の小修理復旧工事のため常雇工夫6人を置くことにした。,金沢の百年　明治編
明治二十七年,1894,3月,政治・経済,安江町と白銀町の境の升形橋が架替えられた。（升形橋は枯木橋、香林坊橋と共に旧時は要所であった）,金沢の百年　明治編
明治二十七年,1894,4月5日,政治・経済,能作合資会社が安江町67番地に創立した。漆器製造と貸金を営業、資本金1万円。,金沢の百年　明治編
明治二十七年,1894,4月14日,政治・経済,"加能汽船株式会社（資本金3万3,000円）が創立、本社は上金石字達摩町14番地。",金沢の百年　明治編
明治二十七年,1894,4月28日,政治・経済,金沢商業会議所の新役員がきまった。会頭水登勇太郎、副会頭森下森八、谷与三右衛門。,金沢の百年　明治編
明治二十七年,1894,5月1日,政治・経済,金沢市役所の処務規程が改正された。第一課（庶務、兵事、戸籍）第二課（勧業、土木、学務）第三課（国税、県税、市税、調度、会計、課戸）,金沢の百年　明治編
明治二十七年,1894,5月6日,政治・経済,有栖川宮熾仁親王揮毫の「勧業博物館」の額文字を三間知事が携え帰県した。,金沢の百年　明治編
明治二十七年,1894,5月8日,政治・経済,倉谷鉱山の鉱毒流出につき、市内の漁業者が三間知事に対して適当な保護策を嘆願した。,金沢の百年　明治編
明治二十七年,1894,5月11日,政治・経済,金沢駅の設置個所につき、三社の宮（豊田白山神社）の付近、醒ヶ井町、木ノ新保等に誘致しようと種々運動するものがあった。,金沢の百年　明治編
明治二十七年,1894,5月15日,政治・経済,金沢商業会議所の地所が郵便電信局増築のため買上げとなり、その代地は西町に決定した。,金沢の百年　明治編
明治二十七年,1894,5月25日,政治・経済,私設七尾鉄道の建築案が衆議院を通過した。,金沢の百年　明治編
明治二十七年,1894,6月3日,政治・経済,金沢商業会議所は本日から西町2番丁1番地藤岡方を仮事務所とした。,金沢の百年　明治編
明治二十七年,1894,6月3日,政治・経済,市役所は中央廊下の板敷をはずし、市民が足駄のまま出入して直接各係に面談出来るように改造した。,金沢の百年　明治編
明治二十七年,1894,6月7日,政治・経済,市会は金沢駅の位置につき意見書を県経由鉄道当局へ提出した。意見書に記載の位置は木ノ新保の現在の金沢駅の場所。,金沢の百年　明治編
明治二十七年,1894,6月10日,政治・経済,兼六園の勧業博物館と金沢神社との間から出羽町へでる通路開設の工事が開始された。,金沢の百年　明治編
明治二十七年,1894,6月10日,政治・経済,市の主要物産の陶銅漆器に新案創意の意匠を生み出し販路を拡張するため、市は県立工業教師山本光一に嘱し図案数十種を描かせることにした（謝金200円）。図案は市が保存し業者に貸与する。,金沢の百年　明治編
明治二十七年,1894,6月14日,政治・経済,旧消防組は全部市立消防組に組入れることになり、その引継ぎを完了した。,金沢の百年　明治編
明治二十七年,1894,6月21日,政治・経済,浅野川大橋詰の牛肉屋長谷川支店が材木町入口右角へ移転して扇五楼と改名開店した。,金沢の百年　明治編
明治二十七年,1894,6月22日,政治・経済,長谷川市長は市民に電灯を見せるため、共進会の会場入口と尾山神社境内に1基ずつを建設することにし、経費257円が市会の承認を得た。,金沢の百年　明治編
明治二十七年,1894,6月25日,政治・経済,石川県警察部は勅令による消防組規則の細則に基づき、金沢東西消防組（東9部西5部）の組頭および各部の小頭を任用し、同時に各部消防夫43人ずつを採用した。,金沢の百年　明治編
明治二十七年,1894,6月30日,政治・経済,浅野川大橋詰を拡張するため拡張地域の家を7月5日までに取払うことになった。,金沢の百年　明治編
明治二十七年,1894,7月10日,政治・経済,第5回関西連合共進会の開場式が午後1時から勧業博物館で挙行された。,金沢の百年　明治編
明治二十七年,1894,7月13日,政治・経済,渡辺孫三郎（二十人町1番丁）が湯涌谷村上荒屋地内高尾山で、ペンキ用白紛と金その他陶土用の鉱土を発見し、試堀願を出した。,金沢の百年　明治編
明治二十七年,1894,7月15日,政治・経済,阿部碧海（甚十郎敬忠）が公益をはかった功により褒章を授けられた。碧海は明治2年から古寺町の自宅で窯業を始め多数の陶工を育成した。,金沢の百年　明治編
明治二十七年,1894,7月17日,政治・経済,石川県第五課長加藤鏆二が石川県工業学校長に任ぜられた。,金沢の百年　明治編
明治二十七年,1894,8月1日,政治・経済,（清国に対し宣戦布告。）,金沢の百年　明治編
明治二十七年,1894,8月29日,政治・経済,日清戦争で動員を下令された金沢の部隊は本日出発した。市は市内出征者（230余人）中の生活困窮家庭に対する扶助をきめた。,金沢の百年　明治編
明治二十七年,1894,9月13日,政治・経済,（歩兵第7連隊仁川に上陸。）,金沢の百年　明治編
明治二十七年,1894,10月17日,政治・経済,市は出征軍人の市税徴収を猶予することにした。,金沢の百年　明治編
明治二十七年,1894,11月29日,政治・経済,長谷川市長が市営発電所設置のための資金を公募する案を市会に提出した。市会は事重大なりとして全員委員となり調査することにした。,金沢の百年　明治編
明治二十七年,1894,12月11日,政治・経済,県勧業課長宮崎豊次が京都府へ転出した。石川県工業学校の創立をはじめ県の経済産業面の行政指導に活躍した。,金沢の百年　明治編
明治二十七年,1894,12月21日,政治・経済,東警察署が殿町61番地の仮庁舎から下新町62番地の新庁舎に移転した。,金沢の百年　明治編
明治二十七年,1894,月日未詳,政治・経済,横浜の輸出商が羽二重生糸買入れのため、はじめて出張所を金沢に設けた。,金沢の百年　明治編
明治二十七年,1894,2月4日,社会・文化,下新町の新富座で女子供の身振浄瑠璃が興行された。,金沢の百年　明治編
明治二十七年,1894,2月23日,社会・文化,（今様能狂言の泉祐三郎がこの日から3日間東京歌舞伎座で興行した。）,金沢の百年　明治編
明治二十七年,1894,3月18日,社会・文化,"夜10時ごろ壮士金戸伊太郎、吉田鉾三郎ら3,4人が小立野の宣教師米人ハオルス方に赴き示威運動をした。ハオルスは威かくのため発砲し、壮士も腕力をふるったがすぐ巡査に取押えられた。",金沢の百年　明治編
明治二十七年,1894,3月23日,社会・文化,卯辰末吉座で嵐冠十郎が東京下りの俳優を加え、茶屋梅本の追善興行をした。,金沢の百年　明治編
明治二十七年,1894,3月30日,社会・文化,朝、片町木倉谷長与門付近から出火、両側に延焼した。出火原因は不明に終った。,金沢の百年　明治編
明治二十七年,1894,3月,社会・文化,薬種商石見谷伊兵衛死去。83歳。小野蘭山の塾に学んだ。津田淳三、高峰精一、田中信吾らを助けたといわれる。,金沢の百年　明治編
明治二十七年,1894,3月,社会・文化,「俳諧新誌」が南町同社から、雑誌「百万石」が西町一粒社から、相場誌「金城宵報」が十間町同社からそれぞれ発行された。,金沢の百年　明治編
明治二十七年,1894,4月8日,社会・文化,香林坊大神宮境内の戎座が宮比座（みやび）と改名した。,金沢の百年　明治編
明治二十七年,1894,4月14日,社会・文化,北国新聞が「兼六園保存論」をのせた。,金沢の百年　明治編
明治二十七年,1894,4月16日,社会・文化,旧藩士赤井直喜東京小石川で死去。水戸の武田耕雲斉ら浪士隊が北陸に下ったとき、藩命によりその処置に当った。,金沢の百年　明治編
明治二十七年,1894,4月29日,社会・文化,旧藩士が尾山旧誼会を設置しようと趣意書を配布した。,金沢の百年　明治編
明治二十七年,1894,4月,社会・文化,かねて不和だった能楽家宝生九郎と波吉甚次郎（金沢人）の和解がなり、前田家は祝いの能楽会を東京邸で催した。,金沢の百年　明治編
明治二十七年,1894,5月2日,社会・文化,俳人朝見大素死去。60歳。桶町に住み足袋商も営んだ。槐庵9世を継席した。,金沢の百年　明治編
明治二十七年,1894,5月11日,社会・文化,山口富造著「養蜂実験門答」が竪町菁々堂から刊行された。,金沢の百年　明治編
明治二十七年,1894,5月14日,社会・文化,市内の米価が各地に比し高く庶民生活を圧迫するので、大手の買占め筋と話合いしようとする動きが市民の間に起きた。,金沢の百年　明治編
明治二十七年,1894,5月14日,社会・文化,書家直江菱舟（塩屋町120番地住）死去。63歳。旧藩時代家塾で漢学習字を教授、のち小学校訓導となった。,金沢の百年　明治編
明治二十七年,1894,5月28日,社会・文化,午後10時ごろ高道町から出火、妙正寺妙玄寺と人家3戸が焼失した。,金沢の百年　明治編
明治二十七年,1894,6月28日,社会・文化,漢詩人木蘇岐山が来沢、池田町立丁18番地に居を定め吟社を設立した。,金沢の百年　明治編
明治二十七年,1894,6月30日,社会・文化,尾張町羽田伝右衛門（七日堂）発起の街灯会社（石油点灯）に申込みが早くも200口に達した。7月10日ごろから点灯の予定。,金沢の百年　明治編
明治二十七年,1894,6月,社会・文化,尾山神社庭園にある辰巳用水の石筒樋が第四高等中学校建設工事でこわれたが修理復旧が完成した。,金沢の百年　明治編
明治二十七年,1894,6月,社会・文化,倉谷鉱山が休業したので犀川に鉱毒が流れなくなった。,金沢の百年　明治編
明治二十七年,1894,7月4日,社会・文化,明治戊辰越後戦争戦死者の27年忌追悼会が当時の隊長小川清太の主唱で野田町桃雲寺で催された。,金沢の百年　明治編
明治二十七年,1894,7月5日,社会・文化,小川孜成著「兼六公園誌」2冊が近田太三郎（安江町）により刊行された。,金沢の百年　明治編
明治二十七年,1894,7月22日,社会・文化,雲田平太郎（油車12番地）著「金沢市街独案内」が棚田岩次郎（石浦町67番地）により刊行された。,金沢の百年　明治編
明治二十七年,1894,7月,社会・文化,鉄砲鍛冶師富木伊助死去。60歳。,金沢の百年　明治編
明治二十七年,1894,8月5日,社会・文化,平岩雪湖（河原町）著「金城勝覧図誌」が南町池善から刊行された。,金沢の百年　明治編
明治二十七年,1894,9月4日,社会・文化,俳人薄井梅下死去。もと神職、浅野屋北州の後を継席して梅雪庵2世と称した。,金沢の百年　明治編
明治二十七年,1894,9月7日,社会・文化,日本赤十字社石川県委員部が石川支部と改められた。,金沢の百年　明治編
明治二十七年,1894,9月11日,社会・文化,第四高等中学校を第四高等学校と改めた。,金沢の百年　明治編
明治二十七年,1894,10月1日,社会・文化,「白山遊記」の著者今川以昌死去。50歳。,金沢の百年　明治編
明治二十七年,1894,10月12日,社会・文化,石川県工業学校に製陶科を新設した。,金沢の百年　明治編
明治二十七年,1894,10月13日,社会・文化,俳人賀古文架死去。55歳。旧藩士、のち新竪町で醤油商を営んだ。嘉会露朗の後をうけ柿丸舎6世を継席した。,金沢の百年　明治編
明治二十七年,1894,10月31日,社会・文化,第三高等学校生徒31人が勅令第75号によって第四高等学校に転入学した。,金沢の百年　明治編
明治二十七年,1894,12月1日,社会・文化,兼六園で旅順陥落官民合同祝賀会が催された。参集者1万人の盛会だった。,金沢の百年　明治編
明治二十七年,1894,12月6日,社会・文化,倉谷鉱毒事件は疑獄事件を起し所有主が変り、採鉱法も改められたので害を及ぼす事なしと当局が言明した。,金沢の百年　明治編
明治二十七年,1894,12月,社会・文化,紺谷末吉（竪町）が「日本勝戦雙六」を編集出版した。,金沢の百年　明治編
明治二十七年,1894,月日未詳,社会・文化,私立真宗中学校が横安江町別院内に創設された。,金沢の百年　明治編
明治二十八年,1895,2月1日,政治・経済,"下今町46番地に丸阿合資会社が呉服太物の問屋を開業。資本金1万5,000円、担当社員八谷五郎兵衛。",金沢の百年　明治編
明治二十八年,1895,2月9日,政治・経済,市会は長谷川市長の要請で市営発電所設立の調査を工学士林頼次郎と電気技手得永文雄に委嘱し、289円25銭の支出を議決した。,金沢の百年　明治編
明治二十八年,1895,3月2日,政治・経済,歩兵第7連隊は昨年9月仁川上陸以来進撃を続けこの日鞍山店を占領した。,金沢の百年　明治編
明治二十八年,1895,3月30日,政治・経済,（日清戦争の休戦協定成立。）,金沢の百年　明治編
明治二十八年,1895,4月17日,政治・経済,（日清講和条約＝下関条約＝締結。）,金沢の百年　明治編
明治二十八年,1895,4月20日,政治・経済,金沢市会は昨年12月解散された県会の議員選挙を3月12日執行したが、市会の両派の勢力伯仲のため紛争が続き、一人で2票を投じた者があったため知事が無効を宣した。本20日再選挙を執行したところ、非市役所派の市議が出席しないままに投票をおこない市役所派の県議のみ当選した。非市役所派は直ちに選挙無効を県参事会に訴願したが却下されたので行政訴訟を提起した。（翌年6月3日選挙無効の判決下る）,金沢の百年　明治編
明治二十八年,1895,4月21日,政治・経済,市会議員半数改選の3級選挙は本日、2級は23日、1級は25日おこなわれた。市会は市役所派（軟派）と非市役所派（硬派）のニ派にわかれていたので選挙も激しい様相を呈した。,金沢の百年　明治編
明治二十八年,1895,4月,政治・経済,金沢商業会議所会頭に亀田伊右衛門が再選された。,金沢の百年　明治編
明治二十八年,1895,6月7日,政治・経済,県令をもって金沢市栄町、松ヶ枝町の貸座敷業は現在の家屋建坪数に限り営業を免許し、廃業転居死亡の場合は営業免許を失効することにきめられた。,金沢の百年　明治編
明治二十八年,1895,6月15日,政治・経済,任期満了の市収入役西村政規の後任に市会は山原成太郎を選出した。,金沢の百年　明治編
明治二十八年,1895,7月1日,政治・経済,凱旋途上の歩兵第7連隊第1大隊に70人のコレラ患者が発生したため部隊は宇品で抑留されているとの連絡がはいった。,金沢の百年　明治編
明治二十八年,1895,7月5日,政治・経済,凱旋部隊を歓迎のため市は病臥中の市長代理として由比書記を県境まで出迎えさせた。,金沢の百年　明治編
明治二十八年,1895,7月9日,政治・経済,歩兵第7連隊が金沢に凱旋した。この戦役における連隊の戦死者は36人。,金沢の百年　明治編
明治二十八年,1895,7月10日,政治・経済,金沢市から発電所設置について調査を依頼された林工学士らは「犀川の水力は優に600馬力の電力を得る」と報告した。,金沢の百年　明治編
明治二十八年,1895,7月11日,政治・経済,金沢市会は凱旋の歩兵第7連隊に感謝状をおくった。,金沢の百年　明治編
明治二十八年,1895,7月25日,政治・経済,南町の横小路尾山神社前の左右を１間ずつ取りひろめることに決定した。,金沢の百年　明治編
明治二十八年,1895,7月27日,政治・経済,午後5時から兼六園内博物館で官民合同の凱旋祝賀会を催し、軍人100人余人を招待した。,金沢の百年　明治編
明治二十八年,1895,8月1日,政治・経済,小間物荒物販売の中小（なかこ）合名会社が青草町36番地に創業した。,金沢の百年　明治編
明治二十八年,1895,9月14日,政治・経済,長谷川市長は市会の決議に基づき市営水力電気の経営に要する資金15万円の起債許可を請うため上京した。（滞京9ヵ月に及んだ）,金沢の百年　明治編
明治二十八年,1895,10月5日,政治・経済,石川セメント会社が上今町48番地に設立された。資本金10万円、代表者南聰孝ほか。,金沢の百年　明治編
明治二十八年,1895,11月27日,政治・経済,県会は広坂上の長谷川準也の宅地を博物館付属地として買い上げることをきめた。,金沢の百年　明治編
明治二十八年,1895,12月25日,政治・経済,"金沢運輸会社が博労町59番地に創立され片町74番地に支店を置いた。資本金5,000円。",金沢の百年　明治編
明治二十八年,1895,12月26日,政治・経済,金子桑の発見者金子清作が家産を傾け病床に飢餓しようとしているので、石川県は米と薬餌料を支給することにした。,金沢の百年　明治編
明治二十八年,1895,12月27日,政治・経済,金沢米穀取引所に株式取引の営業が認可になった。実施は29年5月1日から。,金沢の百年　明治編
明治二十八年,1895,12月29日,政治・経済,県会は監獄署の位置を小立野、野田寺町、西馬場の3カ所の候補地の中から小立野に決定した。,金沢の百年　明治編
明治二十八年,1895,12月,政治・経済,（七尾鉄道株式会社が設立された。社長野田益晴、資本金70万円。）,金沢の百年　明治編
明治二十八年,1895,2月1日,社会・文化,第四高等学校医学部生徒が十全会を組織し妙慶寺で発会式を挙げた。,金沢の百年　明治編
明治二十八年,1895,2月14日,社会・文化,金沢の能楽師相馬勝之（諸橋権之進）方に収蔵された翁の面が前田家に800円で買上げられた。（現在尾山神社所蔵）,金沢の百年　明治編
明治二十八年,1895,2月25日,社会・文化,能楽師相馬勝之（諸橋権之進）死去。78歳。,金沢の百年　明治編
明治二十八年,1895,2月28日,社会・文化,田中正義死去。80歳。加賀藩に洋学を輸入し、壮猶館兵学教師を勤め、美川県庁時代県少属となった。,金沢の百年　明治編
明治二十八年,1895,4月29日,社会・文化,（鹿島郡七尾町で大火、919戸焼失。）,金沢の百年　明治編
明治二十八年,1895,5月16日,社会・文化,尾張町菓子舗森下森八が改名して12代森下八左衛門となった。,金沢の百年　明治編
明治二十八年,1895,7月21日,社会・文化,木ノ新保1番丁で父子2人の真性コレラ患者が発生した。,金沢の百年　明治編
明治二十八年,1895,7月,社会・文化,新井白蛾著「古易断時言附録」沢田向磨著「原因結果の説」が刊行された。,金沢の百年　明治編
明治二十八年,1895,8月10日,社会・文化,石川郡野村字十一屋に金沢避病院が完成した。,金沢の百年　明治編
明治二十八年,1895,8月14日,社会・文化,香林坊大神宮境内で日清戦争パノラマが興行された。,金沢の百年　明治編
明治二十八年,1895,9月18日,社会・文化,小立野飛梅町在住のウイン夫人が26年12月設立した孤児院の収容児は現在15人に達している。,金沢の百年　明治編
明治二十八年,1895,10月31日,社会・文化,金沢出身の法学士三宅恒徳が台湾台南でコレラにかかり死去。,金沢の百年　明治編
明治二十八年,1895,11月2日,社会・文化,大日本衛生会金沢支部が大手町医学堂に会合、金沢のコレラは鞍月用水と辰巳用水沿岸の家に多く発生しているので両用水を一時止めよとの意見も出た。,金沢の百年　明治編
明治二十八年,1895,11月3日,社会・文化,梅本町の一関亭が西洋料理と和料理との折衷料理をはじめ、評判になった。,金沢の百年　明治編
明治二十八年,1895,11月9日,社会・文化,金沢の本年初発以来昨日までの赤痢とコレラ患者数は、赤痢患者116（うち死亡33）コレラ患者111（うち死亡94）。,金沢の百年　明治編
明治二十八年,1895,11月17日,社会・文化,浄土宗寺院連合の主唱で、日清戦争戦死者のため卯辰山観音院上に建立した忠魂堂の落成式が挙行された。,金沢の百年　明治編
明治二十八年,1895,11月19日,社会・文化,藤岡作太郎著「日本風俗誌」が東京で刊行された。,金沢の百年　明治編
明治二十八年,1895,11月,社会・文化,書家山納賢吉（蘭山）死去。60余歳。,金沢の百年　明治編
明治二十八年,1895,12月10日,社会・文化,近来金沢市の地価が急騰している。これは金沢に師団設置説と鉄道開通が目前となったためである。,金沢の百年　明治編
明治二十八年,1895,12月20日,社会・文化,日の出新聞は北陸新聞と名称を変え自由党機関紙として発行することになった。,金沢の百年　明治編
明治二十八年,1895,12月26日,社会・文化,俳人上田松英死去。64歳。古寺町小橋菅原神社社掌を勤め、父の後をうけて十梅園2世となった。,金沢の百年　明治編
明治二十八年,1895,12月,社会・文化,「久徴館同窓会雑誌」が84号をもって終刊となり、次号から「加越能郷友会雑誌」と改題続刊された。,金沢の百年　明治編
明治二十八年,1895,12月,社会・文化,並木町浅野川畔に桜と柳を児玉小路入口まで植えつけた。,金沢の百年　明治編
明治二十八年,1895,12月,社会・文化,北陸新報（発行所北溟社）は本月末で廃刊した。明治4年開化新聞として発刊され、石川新聞さらに加越能新聞を経て北陸新報と改題され継続してきた。,金沢の百年　明治編
明治二十八年,1895,月日未詳,社会・文化,「明治二十七八年征清紀要」が歩兵7連隊から刊行された。,金沢の百年　明治編
明治二十八年,1895,月日未詳,社会・文化,藤岡作太郎が明治27年から28年にかけて北国新聞に「薄曇月橋物語」ほか3編を執筆した。,金沢の百年　明治編
明治二十八年,1895,月日未詳,社会・文化,金沢の白銀師8代水野源六光春死去。,金沢の百年　明治編
明治二十九年,1896,1月2日,政治・経済,凱旋の後備第6連隊本部と第6中隊が午後1時ごろ有松町郊端に到着、知事以下が出迎えた。,金沢の百年　明治編
明治二十九年,1896,1月5日,政治・経済,凱旋した後備連隊は午前8時解散式を挙行した。,金沢の百年　明治編
明治二十九年,1896,1月5日,政治・経済,市内消防の出ぞめ式が県庁構内でおこなわれた。,金沢の百年　明治編
明治二十九年,1896,1月9日,政治・経済,長谷川市長は金沢市内から電話加入希望者を募り、その筋に電話交換局の早急開設方を懇願した。,金沢の百年　明治編
明治二十九年,1896,1月12日,政治・経済,上金石と下金石（大野）で灯台建設を競願中であったが、双方とも許可になった。（上金石は灯台、下金石は灯竿）,金沢の百年　明治編
明治二十九年,1896,1月14日,政治・経済,水力発電に関係ある用水関係者100余人が香林坊下金花楼に集り、協議会を開いた。,金沢の百年　明治編
明治二十九年,1896,1月16日,政治・経済,十間町の陶器輸出商綿野吉二（工場は寺井）が緑綬褒章を授けられた。,金沢の百年　明治編
明治二十九年,1896,1月30日,政治・経済,"最近の物価騰貴により市役所は29年度から吏員の最低日給10銭を12,3銭に引上げることにした。",金沢の百年　明治編
明治二十九年,1896,2月29日,政治・経済,市会1級議員の再選挙を執行した。県知事らの調停により市役所派と非市役所派の両派は同数の当選者を出した。,金沢の百年　明治編
明治二十九年,1896,3月21日,政治・経済,（旧銅貨天保通宝の引換え期限は本年末限りと大蔵省から告知された。）,金沢の百年　明治編
明治二十九年,1896,3月21日,政治・経済,金沢駅の設置位置は木ノ新保6番丁（白鬚神社付近）を中心にした地域に内定した。,金沢の百年　明治編
明治二十九年,1896,3月26日,政治・経済,金沢に連隊区司令部が置かれることになった。,金沢の百年　明治編
明治二十九年,1896,5月1日,政治・経済,金沢米穀取引所が株式取引を開始した。,金沢の百年　明治編
明治二十九年,1896,5月4日,政治・経済,参謀総長小松宮来沢。,金沢の百年　明治編
明治二十九年,1896,5月21日,政治・経済,新設金沢師団の買収金が不足のため寄付金の募金がはじめられた。,金沢の百年　明治編
明治二十九年,1896,5月21日,政治・経済,師団特科隊の設置場所は野村に決定した。,金沢の百年　明治編
明治二十九年,1896,5月,政治・経済,金沢出身の日本銀行監理官早川千吉郎が英国へ渡航した。（清国からの償金管理のため）,金沢の百年　明治編
明治二十九年,1896,6月7日,政治・経済,"市は野村の避病院敷地（1,560坪）を陸軍に献納した。",金沢の百年　明治編
